id,name,brand,category,variant,price,rrPrice,discountPrice,discount,productParentStock,productChildStock,product_url
1TFMD,CamelBak Rogue Light 5 L Hydration Pack - 70 oz. Reservoir,CamelBak,Backpacks/Hydration Packs/Hydration Packs,1TFMD-01,34.99,34.99,34.99,27,10,10,https://www.sierra.com/camelbak-rogue-light-5-l-hydration-pack-70-oz-reservoir~p~1tfmd/?filterString=newproducts~14%2Factivities~d~14342%2F
2WKJP,Speedo Big Girls Mesh Splice Thick One-Piece Swimsuit - UPF 50+,Speedo,Girl's Swimwear/Girls' Swim,2WKJP-01-10,12.99,12.99,12.99,48,138,45,https://www.sierra.com/speedo-big-girls-mesh-splice-thick-one-piece-swimsuit-upf-50-plus-~p~2wkjp/?filterString=newproducts~14%2Factivities~d~14342%2F
4PFDM,OGIO Stand Can Cooler,OGIO,Coolers,4PFDM-01,19.99,19.99,19.99,31,21,21,https://www.sierra.com/ogio-stand-can-cooler~p~4pfdm/?filterString=newproducts~14%2Factivities~d~14342%2F
4WUJP,Allbirds Wool Runner Running Shoes - Merino Wool (For Men),Allbirds,Men's Running Shoes,4WUJP-01-8-M,39.99,39.99,39.99,59,12,1,https://www.sierra.com/allbirds-wool-runner-running-shoes-merino-wool-for-men~p~4wujp/?filterString=newproducts~14%2Factivities~d~14342%2F
4JMYR,"686 infiDRY® Hooded Puffer Blanket - Waterproof, Insulated",686,Sleeping Bags & Pads,4JMYR-01-O/S,49.99,49.99,49.99,34,2,2,https://www.sierra.com/686-infidry-hooded-puffer-blanket-waterproof-insulated~p~4jmyr/?filterString=newproducts~14%2Factivities~d~14342%2F
4YMVJ,Montana Fly Company Galloup’s Mini Peanut Envy Streamer Fly - Half Dozen,Montana Fly Company,Fishing Flies,4YMVJ-01-6,16.99,16.99,16.99,59,36,26,https://www.sierra.com/montana-fly-company-galloups-mini-peanut-envy-streamer-fly-half-dozen~p~4ymvj/?filterString=newproducts~14%2Factivities~d~14342%2F
4XVHW,FOUR LAPS Level Tech T-Shirt - Short Sleeve,FOUR LAPS,Men's Short Sleeve Workout Shirts,4XVHW-01-M,9.99,9.99,9.99,80,45,15,https://www.sierra.com/four-laps-level-tech-t-shirt-short-sleeve~p~4xvhw/?filterString=newproducts~14%2Factivities~d~14342%2F
4KFAW,Kavu Insulated Bite Box,Kavu,Coolers,4KFAW-01,19.99,19.99,19.99,33,25,25,https://www.sierra.com/kavu-insulated-bite-box~p~4kfaw/?filterString=newproducts~14%2Factivities~d~14342%2F
4WUJT,Allbirds Wool Runner Running Shoes - Merino Wool (For Men),Allbirds,Men's Running Shoes,4WUJT-01-10-M,39.99,39.99,39.99,59,17,4,https://www.sierra.com/allbirds-wool-runner-running-shoes-merino-wool-for-men~p~4wujt/?filterString=newproducts~14%2Factivities~d~14342%2F
4XVHT,FOUR LAPS Radius T-Shirt - Short Sleeve,FOUR LAPS,Men's Short Sleeve/Men's Short Sleeve Workout Shirts,4XVHT-01-S,9.99,9.99,9.99,75,60,15,https://www.sierra.com/four-laps-radius-t-shirt-short-sleeve~p~4xvht/?filterString=newproducts~14%2Factivities~d~14342%2F
4YMWA,Montana Fly Company Galloup’s Drowned Ant Dry Fly - Dozen,Montana Fly Company,Fishing Flies,4YMWA-02-14-3.3MM,14.99,14.99,14.99,58,12,10,https://www.sierra.com/montana-fly-company-galloups-drowned-ant-dry-fly-dozen~p~4ymwa/?filterString=newproducts~14%2Factivities~d~14342%2F
4YMYD,Montana Fly Company Christiaens’ GT Adult Dry Fly - Dozen,Montana Fly Company,Fishing Flies,4YMYD-02-10,14.99,14.99,14.99,54,41,11,https://www.sierra.com/montana-fly-company-christiaens-gt-adult-dry-fly-dozen~p~4ymyd/?filterString=newproducts~14%2Factivities~d~14342%2F
4WUKP,Allbirds Tree Flyer 2 Zipeng Running Shoes (For Men),Allbirds,Men's Running Shoes,4WUKP-01-13-M,49.99,49.99,49.99,68,8,2,https://www.sierra.com/allbirds-tree-flyer-2-zipeng-running-shoes-for-men~p~4wukp/?filterString=newproducts~14%2Factivities~d~14342%2F
4XRAU,HYDRO-FORCE Freesoul Tech Stand-Up Paddle Board - 11’2”,HYDRO-FORCE,Inflatable Watercrafts/Paddleboards,4XRAU-01,179.99,179.99,179.99,55,19,19,https://www.sierra.com/hydro-force-freesoul-tech-stand-up-paddle-board-112~p~4xrau/?filterString=newproducts~14%2Factivities~d~14342%2F
